,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.8321,0.7416,0.7886,0.7396,0.8755,0.8629,0.8776,0.8988,0.8342,0.8594,0.8002,0.8289
MSE,0.0001,0.0002,0.0003,0.0007,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001
RMSE,0.01,0.0141,0.0173,0.0265,0.01,0.0141,0.0141,0.01,0.0141,0.01,0.0141,0.01
MAE,0.0071,0.012,0.0134,0.0161,0.0081,0.0105,0.0093,0.0089,0.0107,0.0082,0.0099,0.008
R2,0.4722,0.2414,0.335,0.076,0.2764,0.2215,0.2621,0.3073,0.58,0.5146,0.274,0.5694
X2,0.063,0.137,0.1514,0.313,0.0556,0.061,0.0794,0.0484,0.0806,0.0548,0.0959,0.0461
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
