,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.5032,0.5939,0.6779,0.6363,0.6669,0.7506,0.7536,0.7992,0.6239,0.6279,0.1989,0.4643
MSE,0.0181,0.022,0.0255,0.0282,0.0266,0.0143,0.0131,0.014,0.017,0.006,0.0073,0.0051
RMSE,0.1345,0.1483,0.1597,0.1679,0.1631,0.1196,0.1145,0.1183,0.1304,0.0775,0.0854,0.0714
MAE,0.1077,0.1255,0.1312,0.1398,0.1337,0.0947,0.092,0.0927,0.1036,0.0632,0.0696,0.0562
R2,0.2856,0.3728,0.398,0.3185,0.3563,0.4266,0.625,0.3853,0.4391,0.4626,0.1354,0.5517
X2,72.6852,56.2898,59.7521,64.8065,60.6197,29.4647,32.8539,27.7923,54.0069,27.4337,55.3551,18.4662
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
