,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.5587,0.5187,0.5878,0.529,0.6163,0.7037,0.7272,0.7547,0.6069,0.6341,0.4781,0.5059
MSE,0.0027,0.0049,0.0073,0.0056,0.0075,0.0083,0.0052,0.004,0.0028,0.0018,0.0016,0.0009
RMSE,0.052,0.07,0.0854,0.0748,0.0866,0.0911,0.0721,0.0632,0.0529,0.0424,0.04,0.03
MAE,0.0403,0.0579,0.0715,0.0598,0.069,0.0704,0.0564,0.0512,0.0435,0.034,0.03,0.0222
R2,0.1584,0.1531,0.3302,0.2697,0.2318,0.3705,0.0693,0.3799,0.3833,0.4732,0.1702,0.0935
X2,22.0959,31.7421,42.5605,33.0005,39.9327,26.1052,18.2183,16.4566,18.0665,14.9208,21.5278,12.4286
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
