,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.545,0.6255,0.6857,0.6609,0.7198,0.7997,0.8045,0.8373,0.6768,0.6861,0.472,0.5014
MSE,0.0052,0.0074,0.009,0.0095,0.0095,0.0064,0.006,0.0048,0.0081,0.0053,0.0059,0.0031
RMSE,0.0721,0.086,0.0949,0.0975,0.0975,0.08,0.0775,0.0693,0.09,0.0728,0.0768,0.0557
MAE,0.0598,0.0727,0.0788,0.0813,0.0779,0.0595,0.0575,0.0504,0.0714,0.059,0.0643,0.0459
R2,0.2215,0.3555,0.4189,0.4221,0.4873,0.5998,0.5508,0.5088,0.5187,0.6031,0.278,0.3373
X2,27.7623,32.0817,37.4046,35.3779,32.0899,20.1901,20.5421,14.3123,35.1044,26.8144,43.3199,20.0515
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
