,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.7076,0.642,0.6871,0.5695,0.7263,0.7871,0.7938,0.833,0.7271,0.7575,0.7173,0.7719
MSE,0.0002,0.0004,0.0006,0.0027,0.0005,0.0004,0.0005,0.0004,0.0005,0.0003,0.0003,0.0002
RMSE,0.0141,0.02,0.0245,0.052,0.0224,0.02,0.0224,0.02,0.0224,0.0173,0.0173,0.0141
MAE,0.0123,0.0166,0.0198,0.0266,0.0179,0.0164,0.0156,0.0147,0.0176,0.0141,0.014,0.0107
R2,0.3303,0.3752,0.3186,0.1093,0.5381,0.5259,0.4343,0.3122,0.4709,0.5252,0.1838,0.4348
X2,4.1087,6.506,8.9045,23.5879,7.0174,4.8137,6.7484,3.6375,5.8026,4.279,4.5191,2.0483
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
