,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.7182,0.7531,0.8058,0.8142,0.866,0.8542,0.8626,0.8661,0.7714,0.7835,0.4483,0.5551
MSE,0.0054,0.0078,0.0094,0.0073,0.0049,0.0046,0.0042,0.0074,0.0057,0.0018,0.0032,0.0035
RMSE,0.0735,0.0883,0.097,0.0854,0.07,0.0678,0.0648,0.086,0.0755,0.0424,0.0566,0.0592
MAE,0.0611,0.0763,0.0791,0.0714,0.0538,0.0554,0.0513,0.0618,0.0629,0.0367,0.0479,0.0467
R2,0.3921,0.4522,0.5426,0.2102,0.1794,0.316,0.2967,0.4422,0.6296,0.6997,0.1221,0.6928
X2,0.7784,0.7287,0.7549,0.5791,0.4255,0.3641,0.3672,0.5313,0.5785,0.3516,0.8468,0.4974
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
