,winter,spring,summer,fall
Acc.,0.6765,0.6875,0.7986,0.7424
MSE,0.0004,0.0012,0.0004,0.0003
RMSE,0.02,0.0346,0.02,0.0173
MAE,0.0156,0.0209,0.0157,0.0135
R2,0.3988,0.2658,0.4881,0.4003
X2,17.0407,36.4994,15.846,12.587
C.V.,1.0,1.0,1.0,1.0
