,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.3174,0.361,0.4935,0.5069,0.5816,0.6648,0.6699,0.6356,0.5683,0.5587,0.4015,0.3258
MSE,0.0011,0.0042,0.0038,0.002,0.0007,0.0005,0.0007,0.0046,0.0003,0.0005,0.0007,0.0004
RMSE,0.0332,0.0648,0.0616,0.0447,0.0265,0.0224,0.0265,0.0678,0.0173,0.0224,0.0265,0.02
MAE,0.0255,0.0499,0.0492,0.0338,0.0211,0.0181,0.0202,0.0429,0.0142,0.0157,0.02,0.0149
R2,0.3702,0.1946,0.3428,0.3428,0.35,0.3875,0.6008,0.2375,0.3673,0.2873,0.0396,0.0041
X2,14.2588,48.4095,45.1818,22.8952,18.1124,9.1808,10.3302,26.3793,7.4395,15.2115,-3.133,10.8015
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
