,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.7661,0.7739,0.7957,0.8466,0.8789,0.8783,0.8837,0.8861,0.8447,0.7868,0.5932,0.4972
MSE,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0
RMSE,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
MAE,0.0031,0.0031,0.0032,0.0027,0.0036,0.0061,0.0049,0.0058,0.0049,0.005,0.0048,0.0047
R2,0.4997,0.237,0.2566,0.326,0.8202,0.3377,0.1455,0.4792,0.7608,0.6075,0.1019,0.1703
X2,0.0361,0.0448,0.0252,0.0196,0.0188,0.0354,0.027,0.0398,0.0336,0.0458,0.073,0.0743
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
