,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.6704,0.5763,0.6733,0.7636,0.8256,0.8187,0.8102,0.8366,0.8092,0.7551,0.5323,0.4124
MSE,0.0006,0.0013,0.0021,0.0019,0.0019,0.0013,0.0013,0.0012,0.0006,0.0005,0.0006,0.0008
RMSE,0.0245,0.0361,0.0458,0.0436,0.0436,0.0361,0.0361,0.0346,0.0245,0.0224,0.0245,0.0283
MAE,0.0212,0.0277,0.0374,0.0374,0.0339,0.0305,0.0293,0.0276,0.0195,0.016,0.0184,0.0238
R2,0.1325,0.2992,0.4412,0.7116,0.3212,0.3883,0.2205,0.4427,0.6261,0.6078,0.2293,0.6464
X2,0.303,0.5629,0.6085,0.3937,0.3012,0.2275,0.2931,0.2357,0.1603,0.2232,0.3851,-6.2414
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
