,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.7563,0.7571,0.7895,0.8397,0.8772,0.8776,0.8871,0.8897,0.8175,0.8002,0.6547,0.6719
MSE,0.0018,0.003,0.0038,0.0024,0.0018,0.0019,0.0018,0.0016,0.0026,0.0019,0.0026,0.0013
RMSE,0.0424,0.0548,0.0616,0.049,0.0424,0.0436,0.0424,0.04,0.051,0.0436,0.051,0.0361
MAE,0.032,0.0472,0.0528,0.0384,0.0342,0.0363,0.0332,0.0342,0.0403,0.0375,0.0421,0.0302
R2,0.2537,0.3145,0.3518,0.3423,0.1838,0.2281,0.419,0.4615,0.5265,0.6008,0.2434,0.4747
X2,0.3657,0.4511,0.4945,0.3074,0.2033,0.1935,0.1978,0.1597,0.3655,0.338,0.589,0.2874
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
