,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.5781,0.5024,0.6316,0.7053,0.7297,0.7812,0.8317,0.7316,0.7426,0.7099,0.5885,0.5347
MSE,0.0004,0.0028,0.0019,0.0006,0.0003,0.0002,0.0002,0.002,0.0001,0.0002,0.0003,0.0002
RMSE,0.02,0.0529,0.0436,0.0245,0.0173,0.0141,0.0141,0.0447,0.01,0.0141,0.0173,0.0141
MAE,0.0158,0.0389,0.0358,0.0202,0.0136,0.0118,0.0103,0.0316,0.0085,0.0103,0.0137,0.0103
R2,0.6114,0.2324,0.4674,0.2978,0.1064,0.2436,0.5151,0.4795,0.5965,0.1518,0.0852,0.0029
X2,0.2757,1.1653,0.6797,0.2491,0.1744,0.1033,0.1273,0.4757,0.0854,0.1777,0.2802,0.3471
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
