,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.7617,0.6527,0.705,0.7399,0.7314,0.8279,0.8463,0.8177,0.7431,0.7607,0.6251,0.6018
MSE,0.0007,0.0025,0.0039,0.0019,0.0034,0.0024,0.0017,0.0019,0.0012,0.0007,0.0007,0.0004
RMSE,0.0265,0.05,0.0624,0.0436,0.0583,0.049,0.0412,0.0436,0.0346,0.0265,0.0265,0.02
MAE,0.0218,0.0418,0.0512,0.033,0.0483,0.0409,0.0318,0.0381,0.0284,0.0222,0.0215,0.0179
R2,0.2504,0.2384,0.4762,0.4486,0.3315,0.6439,0.0376,0.4924,0.5821,0.7121,0.3129,0.0581
X2,0.2624,0.6606,0.8851,0.4231,0.7094,0.3388,0.2387,0.2997,0.2934,0.252,0.3791,0.2631
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
