,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.5537,0.5847,0.596,0.6315,0.721,0.8011,0.8028,0.8165,0.6549,0.6462,0.3767,0.3869
MSE,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001
RMSE,0.01,0.0,0.01,0.01,0.01,0.0141,0.01,0.01,0.0141,0.01,0.01,0.01
MAE,0.0059,0.0057,0.0064,0.0066,0.0083,0.0099,0.0083,0.0093,0.0108,0.0083,0.0073,0.0058
R2,0.3258,0.3248,0.3795,0.4605,0.4856,0.5138,0.5899,0.5322,0.5621,0.498,0.2136,0.3088
X2,-3.9844,2.6431,1.867,3.7331,3.523,2.9489,2.6114,2.4797,5.1162,4.0005,2.749,1.477
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
