,winter,spring,summer,fall
Acc.,0.5715,0.7195,0.7903,0.5333
MSE,0.0001,0.0001,0.0001,0.0001
RMSE,0.01,0.01,0.01,0.01
MAE,0.006,0.008,0.0092,0.0076
R2,0.3501,0.6668,0.6107,0.4958
X2,-1.2211,11.3202,9.4395,9.626
C.V.,1.0,1.0,1.0,1.0
