,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.7389,0.8014,0.8343,0.8433,0.8912,0.8316,0.8698,0.9094,0.7905,0.8128,0.6523,0.6792
MSE,0.0039,0.0043,0.0056,0.0047,0.0027,0.0081,0.004,0.0021,0.0053,0.0037,0.0057,0.0038
RMSE,0.0624,0.0656,0.0748,0.0686,0.052,0.09,0.0632,0.0458,0.0728,0.0608,0.0755,0.0616
MAE,0.0503,0.0545,0.0585,0.0536,0.0407,0.0638,0.0498,0.0369,0.0579,0.0484,0.0595,0.0513
R2,0.4114,0.4252,0.4313,0.3358,0.2929,0.0034,0.1605,0.4951,0.4687,0.5425,0.2692,0.4915
X2,0.5993,0.4415,0.5024,0.3996,0.2402,0.5957,0.3242,0.1621,0.5468,0.4756,0.9034,0.4993
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
