,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.5727,0.6707,0.73,0.6682,0.7031,0.7632,0.8138,0.8678,0.653,0.7157,0.4558,0.5819
MSE,0.01,0.0126,0.0148,0.0194,0.0193,0.0161,0.0093,0.0052,0.0149,0.0088,0.0138,0.0067
RMSE,0.1,0.1122,0.1217,0.1393,0.1389,0.1269,0.0964,0.0721,0.1221,0.0938,0.1175,0.0819
MAE,0.0822,0.0903,0.0954,0.1134,0.1112,0.0897,0.0712,0.0539,0.0959,0.0735,0.0932,0.0669
R2,0.2824,0.3119,0.3071,0.2328,0.2677,0.1013,0.2645,0.3535,0.3747,0.4564,0.1335,0.3919
X2,39.5299,32.4675,34.2108,41.9751,42.3587,30.9589,19.1334,10.2118,40.8926,28.2521,54.4588,23.6423
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
