,winter,spring,summer,fall
Acc.,0.3957,0.554,0.6418,0.4603
MSE,0.0027,0.0016,0.0018,0.0005
RMSE,0.052,0.04,0.0424,0.0224
MAE,0.0387,0.0293,0.0257,0.017
R2,0.3615,0.413,0.5139,0.1313
X2,95.6284,60.0539,43.6749,25.7102
C.V.,1.0,1.0,1.0,1.0
