,winter,spring,summer,fall
Acc.,0.6154,0.7202,0.7936,0.5949
MSE,0.0069,0.0089,0.0062,0.0051
RMSE,0.0831,0.0943,0.0787,0.0714
MAE,0.0692,0.0752,0.059,0.0583
R2,0.447,0.4845,0.5757,0.5191
X2,86.0498,92.3162,68.4794,98.2057
C.V.,1.0,1.0,1.0,1.0
