,winter,spring,summer,fall
Acc.,0.4847,0.6284,0.7384,0.4913
MSE,0.0026,0.0062,0.0025,0.0017
RMSE,0.051,0.0787,0.05,0.0412
MAE,0.039,0.0625,0.0395,0.0265
R2,0.3553,0.5052,0.6206,0.3852
X2,71.1824,95.531,44.4484,105.8947
C.V.,1.0,1.0,1.0,1.0
