,winter,spring,summer,fall
Acc.,0.5411,0.616,0.7239,0.5584
MSE,0.0046,0.0068,0.0049,0.0015
RMSE,0.0678,0.0825,0.07,0.0387
MAE,0.0545,0.0658,0.0545,0.0302
R2,0.3169,0.356,0.4281,0.395
X2,85.2572,100.9581,57.1575,53.6829
C.V.,1.0,1.0,1.0,1.0
