,winter,spring,summer,fall
Acc.,0.587,0.6766,0.7582,0.4729
MSE,0.021,0.0248,0.0144,0.007
RMSE,0.1449,0.1575,0.12,0.0837
MAE,0.1196,0.128,0.0949,0.0668
R2,0.4187,0.3412,0.5633,0.399
X2,170.1877,164.953,110.4669,113.9185
C.V.,1.0,1.0,1.0,1.0
