,winter,spring,summer,fall
Acc.,0.6499,0.7108,0.807,0.6037
MSE,0.0122,0.0187,0.0095,0.0104
RMSE,0.1105,0.1367,0.0975,0.102
MAE,0.0896,0.1058,0.0717,0.0806
R2,0.3952,0.2214,0.4042,0.3696
X2,96.481,118.7744,66.0772,116.7594
C.V.,1.0,1.0,1.0,1.0
