,January,February,March,April,May,June,July,August,September,October,November,December
Acc.,0.4747,0.4351,0.5564,0.5988,0.6221,0.7226,0.7149,0.7668,0.6832,0.6034,0.3817,0.287
MSE,0.0019,0.0023,0.0039,0.007,0.008,0.0033,0.003,0.0025,0.0017,0.0021,0.0013,0.0016
RMSE,0.0436,0.048,0.0624,0.0837,0.0894,0.0574,0.0548,0.05,0.0412,0.0458,0.0361,0.04
MAE,0.0337,0.037,0.0507,0.0635,0.0735,0.0466,0.0439,0.0394,0.0324,0.026,0.0244,0.0288
R2,0.116,0.227,0.423,0.5528,0.4398,0.5361,0.5649,0.601,0.5732,0.4146,0.1366,0.3737
X2,21.9483,27.1147,30.178,38.8006,36.971,15.8613,15.8985,13.9682,14.3446,20.4063,38.9267,42.6384
C.V.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
